Position Label,Beacon 1,RSS 1,Beacon 2,RSS 2,Beacon 3,RSS 3,Beacon 4,RSS 4,Beacon 5,RSS 5,Beacon 6,RSS 6,Beacon 7,RSS 7,Beacon 8,RSS 8
100,0.22,-0.573,0.12,-0.634,0.6,-0.692,0.2,-0.62,0.209,-0.55,0.14,-0.69,0.15,-0.695,0.1844,-0.672
100,0.22,-0.635,0.12,-0.682,0.6,-0.706,0.2,-0.718,0.209,-0.639,0.14,-0.532,0.15,-0.644,0.1844,-0.608
100,0.22,-0.588,0.12,-0.687,0.6,-0.702,0.2,-0.648,0.209,-0.557,0.14,-0.663,0.15,-0.723,0.1844,-0.661
100,0.22,-0.567,0.12,-0.637,0.6,-0.603,0.2,-0.582,0.209,-0.63,0.14,-0.713,0.15,-0.695,0.1844,-0.739
100,0.22,-0.564,0.12,-0.612,0.6,-0.601,0.2,-0.612,0.209,-0.663,0.14,-0.721,0.15,-0.695,0.1844,-0.76
100,0.22,-0.506,0.12,-0.644,0.6,-0.604,0.2,-0.651,0.209,-0.64,0.14,-0.709,0.15,-0.669,0.1844,-0.682
100,0.22,-0.645,0.12,-0.663,0.6,-0.782,0.2,-0.774,0.209,-0.704,0.14,-0.664,0.15,-0.588,0.1844,-0.628
100,0.22,-0.574,0.12,-0.586,0.6,-0.578,0.2,-0.585,0.209,-0.631,0.14,-0.696,0.15,-0.717,0.1844,-0.736
100,0.22,-0.6,0.12,-0.661,0.6,-0.688,0.2,-0.643,0.209,-0.564,0.14,-0.674,0.15,-0.739,0.1844,-0.691
100,0.22,-0.633,0.12,-0.623,0.6,-0.722,0.2,-0.72,0.209,-0.649,0.14,-0.564,0.15,-0.681,0.1844,-0.62
100,0.22,-0.699,0.12,-0.596,0.6,-0.75,0.2,-0.728,0.209,-0.663,0.14,-0.634,0.15,-0.648,0.1844,-0.555
100,0.22,-0.607,0.12,-0.56,0.6,-0.686,0.2,-0.616,0.209,-0.589,0.14,-0.675,0.15,-0.646,0.1844,-0.674
100,0.22,-0.637,0.12,-0.635,0.6,-0.731,0.2,-0.719,0.209,-0.648,0.14,-0.571,0.15,-0.679,0.1844,-0.621
100,0.22,-0.665,0.12,-0.559,0.6,-0.766,0.2,-0.778,0.209,-0.676,0.14,-0.628,0.15,-0.629,0.1844,-0.597
100,0.22,-0.616,0.12,-0.681,0.6,-0.64,0.2,-0.582,0.209,-0.597,0.14,-0.672,0.15,-0.656,0.1844,-0.686
100,0.22,-0.623,0.12,-0.657,0.6,-0.644,0.2,-0.595,0.209,-0.559,0.14,-0.637,0.15,-0.623,0.1844,-0.676
100,0.22,-0.683,0.12,-0.641,0.6,-0.759,0.2,-0.71,0.209,-0.658,0.14,-0.558,0.15,-0.678,0.1844,-0.587
100,0.22,-0.573,0.12,-0.616,0.6,-0.578,0.2,-0.605,0.209,-0.619,0.14,-0.712,0.15,-0.65,0.1844,-0.694
100,0.22,-0.698,0.12,-0.554,0.6,-0.766,0.2,-0.721,0.209,-0.686,0.14,-0.634,0.15,-0.64,0.1844,-0.576
100,0.22,-0.589,0.12,-0.646,0.6,-0.675,0.2,-0.612,0.209,-0.568,0.14,-0.692,0.15,-0.717,0.1844,-0.677
100,0.22,-0.699,0.12,-0.613,0.6,-0.761,0.2,-0.732,0.209,-0.652,0.14,-0.592,0.15,-0.647,0.1844,-0.594
100,0.22,-0.682,0.12,-0.616,0.6,-0.767,0.2,-0.749,0.209,-0.678,0.14,-0.65,0.15,-0.563,0.1844,-0.614
100,0.22,-0.649,0.12,-0.672,0.6,-0.706,0.2,-0.692,0.209,-0.611,0.14,-0.572,0.15,-0.671,0.1844,-0.615
100,0.22,-0.69,0.12,-0.635,0.6,-0.772,0.2,-0.745,0.209,-0.644,0.14,-0.598,0.15,-0.626,0.1844,-0.579
